,nome,estado
382548,Coronel Marcos Rocha,RO
145822,Coronel Marcos Rocha,RO
742374,Marcos Rogério,RO
249484,Coronel Marcos Rocha,RO
526383,Marcos Rogério,RO
219766,Coronel Marcos Rocha,RO
344175,Coronel Marcos Rocha,RO
604152,Marcos Rogério,RO
350353,Coronel Marcos Rocha,RO
794622,Marcos Rogério,RO
786626,Marcos Rogério,RO
735822,Marcos Rogério,RO
550232,Marcos Rogério,RO
502336,Marcos Rogério,RO
37203,Coronel Marcos Rocha,RO
523150,Marcos Rogério,RO
293544,Coronel Marcos Rocha,RO
625336,Marcos Rogério,RO
64882,Coronel Marcos Rocha,RO
336671,Coronel Marcos Rocha,RO
766147,Marcos Rogério,RO
71477,Coronel Marcos Rocha,RO
512417,Marcos Rogério,RO
125971,Coronel Marcos Rocha,RO
513528,Marcos Rogério,RO
183525,Coronel Marcos Rocha,RO
476841,Marcos Rogério,RO
86591,Coronel Marcos Rocha,RO
43869,Coronel Marcos Rocha,RO
745593,Marcos Rogério,RO
164385,Coronel Marcos Rocha,RO
498234,Marcos Rogério,RO
128070,Coronel Marcos Rocha,RO
237815,Coronel Marcos Rocha,RO
756399,Marcos Rogério,RO
340553,Coronel Marcos Rocha,RO
315159,Coronel Marcos Rocha,RO
413512,Coronel Marcos Rocha,RO
3237,Coronel Marcos Rocha,RO
16585,Coronel Marcos Rocha,RO
412858,Coronel Marcos Rocha,RO
790762,Marcos Rogério,RO
909409,Nulos,RO
193390,Coronel Marcos Rocha,RO
185354,Coronel Marcos Rocha,RO
68233,Coronel Marcos Rocha,RO
912744,Nulos,RO
694859,Marcos Rogério,RO
639691,Marcos Rogério,RO
108743,Coronel Marcos Rocha,RO
827316,Marcos Rogério,RO
10714,Coronel Marcos Rocha,RO
420529,Coronel Marcos Rocha,RO
493594,Marcos Rogério,RO
383568,Coronel Marcos Rocha,RO
390121,Coronel Marcos Rocha,RO
68188,Coronel Marcos Rocha,RO
9505,Coronel Marcos Rocha,RO
402097,Coronel Marcos Rocha,RO
692970,Marcos Rogério,RO
829995,Marcos Rogério,RO
130011,Coronel Marcos Rocha,RO
736768,Marcos Rogério,RO
709134,Marcos Rogério,RO
664077,Marcos Rogério,RO
18487,Coronel Marcos Rocha,RO
673434,Marcos Rogério,RO
505993,Marcos Rogério,RO
746281,Marcos Rogério,RO
359115,Coronel Marcos Rocha,RO
323392,Coronel Marcos Rocha,RO
