,nome,estado
83945,Jorge Viana,AC
1154547,Gladson Cameli,AC
139063,Branco,AC
1347637,Gladson Cameli,AC
759144,Petecão,AC
428309,Jorge Viana,AC
850349,Branco,AC
317238,Gladson Cameli,AC
1104755,Gladson Cameli,AC
1101819,Jorge Viana,AC
423514,Gladson Cameli,AC
504165,Gladson Cameli,AC
774326,Gladson Cameli,AC
1329049,Mara Rocha,AC
1244290,Gladson Cameli,AC
439540,Gladson Cameli,AC
829375,Petecão,AC
1123864,Gladson Cameli,AC
968967,Petecão,AC
1091421,Gladson Cameli,AC
743913,Jorge Viana,AC
21810,Mara Rocha,AC
36482,Gladson Cameli,AC
1235474,Nulo,AC
762662,Nulo,AC
1154476,Gladson Cameli,AC
328032,Gladson Cameli,AC
291171,Gladson Cameli,AC
329762,Mara Rocha,AC
55888,Gladson Cameli,AC
1300677,Jorge Viana,AC
831269,Jorge Viana,AC
18984,Gladson Cameli,AC
972734,Gladson Cameli,AC
900838,Gladson Cameli,AC
503959,Gladson Cameli,AC
531406,Gladson Cameli,AC
783444,Jorge Viana,AC
157042,Jorge Viana,AC
1511,Branco,AC
231955,Jorge Viana,AC
133510,Jorge Viana,AC
1178845,Jorge Viana,AC
21268,Petecão,AC
467493,Nulo,AC
695324,Jorge Viana,AC
259891,Gladson Cameli,AC
359840,Jorge Viana,AC
240888,Gladson Cameli,AC
782278,Gladson Cameli,AC
677867,Jorge Viana,AC
281398,Gladson Cameli,AC
643872,Gladson Cameli,AC
744510,Jorge Viana,AC
1273789,Jorge Viana,AC
747741,Gladson Cameli,AC
1241239,Gladson Cameli,AC
493556,Gladson Cameli,AC
720686,Gladson Cameli,AC
1068154,Mara Rocha,AC
1371317,Gladson Cameli,AC
43485,Gladson Cameli,AC
296604,Jorge Viana,AC
839737,Marcio Bittar,AC
1135615,Branco,AC
954341,Gladson Cameli,AC
530072,Gladson Cameli,AC
449280,Jorge Viana,AC
1099934,Gladson Cameli,AC
338385,Mara Rocha,AC
1316400,Gladson Cameli,AC
903518,Mara Rocha,AC
333417,Petecão,AC
1295782,Gladson Cameli,AC
181096,Branco,AC
608021,Jorge Viana,AC
812292,Mara Rocha,AC
888555,Gladson Cameli,AC
9854,Gladson Cameli,AC
392178,Gladson Cameli,AC
325536,Gladson Cameli,AC
628475,Gladson Cameli,AC
172437,Gladson Cameli,AC
1208824,Gladson Cameli,AC
1176925,Gladson Cameli,AC
1314384,Gladson Cameli,AC
17897,Gladson Cameli,AC
436046,Jorge Viana,AC
215320,Gladson Cameli,AC
980479,Jorge Viana,AC
758228,Gladson Cameli,AC
245976,Gladson Cameli,AC
875938,Gladson Cameli,AC
560943,Mara Rocha,AC
637483,Petecão,AC
501416,Gladson Cameli,AC
514733,Jorge Viana,AC
29411,Gladson Cameli,AC
357407,Gladson Cameli,AC
878890,Petecão,AC
1058986,Jorge Viana,AC
833503,Jorge Viana,AC
204582,Gladson Cameli,AC
567869,Gladson Cameli,AC
339723,Nulo,AC
240812,Gladson Cameli,AC
5727,Jorge Viana,AC
646785,Jorge Viana,AC
435616,Jorge Viana,AC
537113,Gladson Cameli,AC
348180,Gladson Cameli,AC
1110882,Jorge Viana,AC
396336,Jorge Viana,AC
497186,Gladson Cameli,AC
493542,Gladson Cameli,AC
517412,Gladson Cameli,AC
1160004,Gladson Cameli,AC
823211,Gladson Cameli,AC
790055,Gladson Cameli,AC
469190,Gladson Cameli,AC
666739,Gladson Cameli,AC
684102,Jorge Viana,AC
765100,Mara Rocha,AC
238169,Jorge Viana,AC
382173,Gladson Cameli,AC
791229,Gladson Cameli,AC
391868,Gladson Cameli,AC
1165674,Petecão,AC
872603,Jorge Viana,AC
785049,Gladson Cameli,AC
879033,Gladson Cameli,AC
687461,Gladson Cameli,AC
660178,Jorge Viana,AC
1029522,Gladson Cameli,AC
332464,Gladson Cameli,AC
43418,Jorge Viana,AC
278534,Jorge Viana,AC
1253760,Gladson Cameli,AC
144785,Gladson Cameli,AC
798537,Gladson Cameli,AC
817096,Petecão,AC
150312,Gladson Cameli,AC
300068,Jorge Viana,AC
3572,Petecão,AC
99270,Gladson Cameli,AC
452441,Gladson Cameli,AC
61571,Jorge Viana,AC
1003615,Mara Rocha,AC
697515,Jorge Viana,AC
359609,Jorge Viana,AC
416668,Gladson Cameli,AC
1230969,Petecão,AC
1379727,Gladson Cameli,AC
182128,Petecão,AC
407921,Gladson Cameli,AC
932304,Mara Rocha,AC
515441,Gladson Cameli,AC
574508,Gladson Cameli,AC
736758,Jorge Viana,AC
393904,Gladson Cameli,AC
645497,Jorge Viana,AC
691606,Gladson Cameli,AC
255708,Gladson Cameli,AC
512733,Gladson Cameli,AC
884028,Gladson Cameli,AC
874707,Gladson Cameli,AC
360416,Gladson Cameli,AC
127513,Gladson Cameli,AC
796542,Petecão,AC
190590,Gladson Cameli,AC
1052092,Jorge Viana,AC
1028034,Gladson Cameli,AC
863322,Branco,AC
148673,Gladson Cameli,AC
945247,Gladson Cameli,AC
849058,Jorge Viana,AC
77881,Jorge Viana,AC
1155881,Nulo,AC
1327206,Gladson Cameli,AC
1321503,Jorge Viana,AC
1323320,Gladson Cameli,AC
346088,Gladson Cameli,AC
686271,Gladson Cameli,AC
1338755,Gladson Cameli,AC
493176,Gladson Cameli,AC
314033,Gladson Cameli,AC
1212204,Jorge Viana,AC
1282036,Gladson Cameli,AC
537367,Jorge Viana,AC
792578,Gladson Cameli,AC
1276094,Mara Rocha,AC
348791,Gladson Cameli,AC
1049544,Gladson Cameli,AC
939104,Gladson Cameli,AC
1348607,Gladson Cameli,AC
585390,Gladson Cameli,AC
1251415,Gladson Cameli,AC
326258,Gladson Cameli,AC
102068,Jorge Viana,AC
1328746,Marcio Bittar,AC
110494,Mara Rocha,AC
1057236,Gladson Cameli,AC
56854,Jorge Viana,AC
574714,Mara Rocha,AC
30048,Mara Rocha,AC
47328,Gladson Cameli,AC
1276606,Mara Rocha,AC
1071182,Gladson Cameli,AC
130248,Gladson Cameli,AC
285391,Jorge Viana,AC
938868,Petecão,AC
159246,Jorge Viana,AC
433296,Gladson Cameli,AC
208458,Mara Rocha,AC
373573,Jorge Viana,AC
461988,Gladson Cameli,AC
737653,Mara Rocha,AC
605025,Gladson Cameli,AC
233163,Gladson Cameli,AC
704566,Gladson Cameli,AC
123084,Jorge Viana,AC
700493,Gladson Cameli,AC
495530,Gladson Cameli,AC
109522,Petecão,AC
956916,Gladson Cameli,AC
764496,Gladson Cameli,AC
197162,Gladson Cameli,AC
1160072,Gladson Cameli,AC
147700,Gladson Cameli,AC
322352,Petecão,AC
918941,Jorge Viana,AC
67219,Petecão,AC
354409,Marcio Bittar,AC
495321,Gladson Cameli,AC
475805,Mara Rocha,AC
12781,Mara Rocha,AC
1130970,Jorge Viana,AC
101052,Gladson Cameli,AC
1063708,Jorge Viana,AC
333372,Gladson Cameli,AC
835761,Jorge Viana,AC
517071,Mara Rocha,AC
618926,Jorge Viana,AC
73292,Jorge Viana,AC
648651,Gladson Cameli,AC
958204,Jorge Viana,AC
448320,Gladson Cameli,AC
949623,Gladson Cameli,AC
896478,Gladson Cameli,AC
640824,Gladson Cameli,AC
109520,Nulo,AC
