,nome,estado
3706855,Lula,PA
2461699,Jair Bolsonaro,PA
3205860,Lula,PA
1469395,Lula,PA
3737374,Lula,PA
4319621,Lula,PA
2251953,Jair Bolsonaro,PA
1848717,Jair Bolsonaro,PA
2889823,Jair Bolsonaro,PA
2822563,Jair Bolsonaro,PA
4828634,Lula,PA
2971761,Jair Bolsonaro,PA
2695026,Lula,PA
1432449,Lula,PA
2894377,Jair Bolsonaro,PA
650452,Lula,PA
3479680,Lula,PA
2189905,Lula,PA
4922430,Lula,PA
3545520,Lula,PA
1378039,Jair Bolsonaro,PA
1953222,Jair Bolsonaro,PA
4573055,Jair Bolsonaro,PA
4098554,Lula,PA
3568377,Jair Bolsonaro,PA
3804990,Lula,PA
2009682,Jair Bolsonaro,PA
2663781,Jair Bolsonaro,PA
1179273,Lula,PA
4771227,Lula,PA
1070867,Lula,PA
758869,Lula,PA
1287526,Jair Bolsonaro,PA
4398742,Lula,PA
3919258,Jair Bolsonaro,PA
4252571,Lula,PA
4605032,Lula,PA
3160423,Lula,PA
2256464,Jair Bolsonaro,PA
4293000,Jair Bolsonaro,PA
789177,Jair Bolsonaro,PA
416615,Jair Bolsonaro,PA
3632067,Jair Bolsonaro,PA
2391850,Jair Bolsonaro,PA
2137091,Lula,PA
2470956,Jair Bolsonaro,PA
1903481,Lula,PA
5064736,Jair Bolsonaro,PA
2692480,Lula,PA
865260,Lula,PA
2331829,Lula,PA
482467,Lula,PA
2237391,Jair Bolsonaro,PA
4288431,Jair Bolsonaro,PA
2108621,Jair Bolsonaro,PA
2352054,Jair Bolsonaro,PA
3122779,Jair Bolsonaro,PA
4259702,Jair Bolsonaro,PA
5079941,Jair Bolsonaro,PA
2778055,Jair Bolsonaro,PA
3604228,Lula,PA
4779647,Lula,PA
859351,Lula,PA
3217366,Jair Bolsonaro,PA
4465187,Lula,PA
1614542,Lula,PA
2505697,Jair Bolsonaro,PA
2650725,Lula,PA
4294089,Jair Bolsonaro,PA
3528703,Jair Bolsonaro,PA
3965102,Lula,PA
3903101,Jair Bolsonaro,PA
4841045,Lula,PA
2461085,Lula,PA
4072777,Lula,PA
4003771,Lula,PA
4752072,Jair Bolsonaro,PA
1425929,Lula,PA
4514060,Jair Bolsonaro,PA
1867965,Lula,PA
2749067,Jair Bolsonaro,PA
3985657,Jair Bolsonaro,PA
2651460,Jair Bolsonaro,PA
2502161,Lula,PA
2427777,Jair Bolsonaro,PA
4395323,Lula,PA
1069411,Lula,PA
1027463,Lula,PA
1110279,Jair Bolsonaro,PA
3668483,Lula,PA
1602835,Lula,PA
2836822,Jair Bolsonaro,PA
4174878,Jair Bolsonaro,PA
457707,Lula,PA
1687888,Jair Bolsonaro,PA
932554,Lula,PA
1207408,Jair Bolsonaro,PA
3226239,Lula,PA
463742,Lula,PA
2307101,Lula,PA
1826854,Jair Bolsonaro,PA
4424430,Lula,PA
2919833,Lula,PA
1383774,Lula,PA
672619,Lula,PA
449918,Lula,PA
2090621,Lula,PA
4029254,Lula,PA
538586,Lula,PA
572753,Jair Bolsonaro,PA
1846173,Lula,PA
2256302,Lula,PA
1649237,Lula,PA
1626173,Jair Bolsonaro,PA
2642931,Jair Bolsonaro,PA
1777923,Jair Bolsonaro,PA
4880801,Lula,PA
1542950,Lula,PA
2316245,Lula,PA
2875015,Jair Bolsonaro,PA
1563598,Lula,PA
3936376,Lula,PA
4781583,Jair Bolsonaro,PA
4349880,Jair Bolsonaro,PA
1770681,Lula,PA
2252299,Jair Bolsonaro,PA
4256949,Lula,PA
4393060,Jair Bolsonaro,PA
2577401,Jair Bolsonaro,PA
905736,Jair Bolsonaro,PA
1076066,Jair Bolsonaro,PA
3377650,Lula,PA
2248322,Lula,PA
2697348,Jair Bolsonaro,PA
3172342,Jair Bolsonaro,PA
2801234,Branco,PA
3023276,Jair Bolsonaro,PA
2468285,Jair Bolsonaro,PA
1008495,Lula,PA
406190,Lula,PA
2786498,Lula,PA
3488143,Nulo,PA
3633856,Jair Bolsonaro,PA
1696653,Lula,PA
4723302,Lula,PA
3275029,Lula,PA
1126855,Jair Bolsonaro,PA
1988885,Lula,PA
752968,Lula,PA
884331,Jair Bolsonaro,PA
790315,Jair Bolsonaro,PA
2900705,Lula,PA
