,nome,estado
1192414,Jair Bolsonaro,RO
415887,Jair Bolsonaro,RO
27856,Jair Bolsonaro,RO
873796,Jair Bolsonaro,RO
216410,Jair Bolsonaro,RO
1377031,Lula,RO
798104,Lula,RO
1181332,Lula,RO
564404,Jair Bolsonaro,RO
588722,Simone Tebet,RO
1034328,Simone Tebet,RO
303078,Jair Bolsonaro,RO
607636,Jair Bolsonaro,RO
97109,Jair Bolsonaro,RO
340648,Lula,RO
628531,Lula,RO
822358,Jair Bolsonaro,RO
1187188,Jair Bolsonaro,RO
1080506,Lula,RO
588568,Jair Bolsonaro,RO
1185329,Jair Bolsonaro,RO
350226,Jair Bolsonaro,RO
1225069,Lula,RO
192544,Lula,RO
498185,Jair Bolsonaro,RO
523139,Jair Bolsonaro,RO
1110479,Jair Bolsonaro,RO
114700,Lula,RO
670646,Lula,RO
986923,Jair Bolsonaro,RO
705570,Lula,RO
1197396,Jair Bolsonaro,RO
932822,Jair Bolsonaro,RO
786206,Jair Bolsonaro,RO
1035311,Lula,RO
621774,Jair Bolsonaro,RO
139369,Simone Tebet,RO
1028821,Jair Bolsonaro,RO
41718,Lula,RO
19885,Jair Bolsonaro,RO
1185628,Jair Bolsonaro,RO
259776,Lula,RO
942453,Lula,RO
455699,Simone Tebet,RO
293271,Jair Bolsonaro,RO
158573,Jair Bolsonaro,RO
39918,Jair Bolsonaro,RO
930201,Lula,RO
125426,Lula,RO
62407,Jair Bolsonaro,RO
1346582,Jair Bolsonaro,RO
598987,Jair Bolsonaro,RO
63939,Lula,RO
493867,Jair Bolsonaro,RO
1223846,Jair Bolsonaro,RO
1160583,Jair Bolsonaro,RO
235622,Jair Bolsonaro,RO
744099,Jair Bolsonaro,RO
1276134,Jair Bolsonaro,RO
715652,Jair Bolsonaro,RO
1159177,Jair Bolsonaro,RO
1301919,Jair Bolsonaro,RO
791088,Jair Bolsonaro,RO
1378650,Jair Bolsonaro,RO
404221,Lula,RO
770341,Jair Bolsonaro,RO
114635,Jair Bolsonaro,RO
60993,Jair Bolsonaro,RO
1166782,Jair Bolsonaro,RO
1060146,Jair Bolsonaro,RO
160265,Jair Bolsonaro,RO
952367,Jair Bolsonaro,RO
37464,Jair Bolsonaro,RO
763721,Jair Bolsonaro,RO
1174514,Ciro Gomes,RO
99037,Jair Bolsonaro,RO
683614,Jair Bolsonaro,RO
1263963,Branco,RO
897441,Jair Bolsonaro,RO
1370679,Felipe D'Avila,RO
148148,Jair Bolsonaro,RO
597399,Jair Bolsonaro,RO
728514,Jair Bolsonaro,RO
49938,Jair Bolsonaro,RO
856216,Lula,RO
966640,Simone Tebet,RO
567087,Jair Bolsonaro,RO
387944,Jair Bolsonaro,RO
1164556,Lula,RO
89689,Jair Bolsonaro,RO
1194043,Lula,RO
897648,Jair Bolsonaro,RO
1035540,Lula,RO
91797,Lula,RO
963982,Lula,RO
476918,Jair Bolsonaro,RO
48620,Jair Bolsonaro,RO
1110881,Jair Bolsonaro,RO
855005,Lula,RO
281898,Lula,RO
339382,Jair Bolsonaro,RO
794004,Jair Bolsonaro,RO
414156,Lula,RO
406764,Jair Bolsonaro,RO
465800,Jair Bolsonaro,RO
871178,Jair Bolsonaro,RO
899916,Jair Bolsonaro,RO
508006,Jair Bolsonaro,RO
936230,Lula,RO
425461,Jair Bolsonaro,RO
858126,Jair Bolsonaro,RO
894902,Jair Bolsonaro,RO
477977,Lula,RO
448354,Lula,RO
1114966,Jair Bolsonaro,RO
707728,Jair Bolsonaro,RO
104301,Jair Bolsonaro,RO
300237,Jair Bolsonaro,RO
1151666,Jair Bolsonaro,RO
1123827,Jair Bolsonaro,RO
1342190,Lula,RO
34126,Lula,RO
219266,Jair Bolsonaro,RO
42648,Jair Bolsonaro,RO
1125017,Jair Bolsonaro,RO
45703,Jair Bolsonaro,RO
959425,Jair Bolsonaro,RO
542780,Jair Bolsonaro,RO
217308,Jair Bolsonaro,RO
1286160,Jair Bolsonaro,RO
410556,Lula,RO
1369080,Jair Bolsonaro,RO
452211,Jair Bolsonaro,RO
291513,Jair Bolsonaro,RO
88314,Lula,RO
1045218,Jair Bolsonaro,RO
573408,Jair Bolsonaro,RO
1111749,Jair Bolsonaro,RO
211575,Ciro Gomes,RO
1200580,Jair Bolsonaro,RO
446106,Jair Bolsonaro,RO
206682,Jair Bolsonaro,RO
592226,Jair Bolsonaro,RO
931798,Lula,RO
102465,Ciro Gomes,RO
1251831,Jair Bolsonaro,RO
806652,Jair Bolsonaro,RO
182153,Lula,RO
352884,Jair Bolsonaro,RO
326231,Jair Bolsonaro,RO
1012856,Jair Bolsonaro,RO
1321034,Jair Bolsonaro,RO
121014,Simone Tebet,RO
690524,Jair Bolsonaro,RO
746324,Jair Bolsonaro,RO
507949,Jair Bolsonaro,RO
