,nome,estado
628815,Jair Bolsonaro,AC
734833,Lula,AC
119436,Jair Bolsonaro,AC
348305,Jair Bolsonaro,AC
607941,Jair Bolsonaro,AC
997822,Lula,AC
292081,Jair Bolsonaro,AC
987813,Jair Bolsonaro,AC
10655,Nulo,AC
979258,Jair Bolsonaro,AC
184276,Jair Bolsonaro,AC
1151419,Jair Bolsonaro,AC
10579,Jair Bolsonaro,AC
537993,Jair Bolsonaro,AC
643836,Jair Bolsonaro,AC
1011508,Jair Bolsonaro,AC
54073,Jair Bolsonaro,AC
848890,Jair Bolsonaro,AC
768719,Jair Bolsonaro,AC
587462,Jair Bolsonaro,AC
657567,Lula,AC
1285446,Lula,AC
897445,Jair Bolsonaro,AC
192766,Jair Bolsonaro,AC
1023013,Lula,AC
336237,Lula,AC
657878,Lula,AC
1059834,Lula,AC
1024029,Jair Bolsonaro,AC
1033074,Jair Bolsonaro,AC
1092375,Nulo,AC
1026939,Jair Bolsonaro,AC
896055,Jair Bolsonaro,AC
133759,Jair Bolsonaro,AC
907363,Jair Bolsonaro,AC
993304,Jair Bolsonaro,AC
336430,Jair Bolsonaro,AC
819718,Lula,AC
410386,Lula,AC
611366,Jair Bolsonaro,AC
178495,Jair Bolsonaro,AC
232277,Jair Bolsonaro,AC
103422,Jair Bolsonaro,AC
235599,Lula,AC
327811,Lula,AC
1205872,Jair Bolsonaro,AC
1000757,Jair Bolsonaro,AC
43945,Jair Bolsonaro,AC
767025,Jair Bolsonaro,AC
928773,Jair Bolsonaro,AC
183046,Lula,AC
500144,Jair Bolsonaro,AC
289996,Lula,AC
499171,Lula,AC
1226773,Lula,AC
43361,Jair Bolsonaro,AC
773771,Jair Bolsonaro,AC
685240,Jair Bolsonaro,AC
870285,Lula,AC
1173282,Jair Bolsonaro,AC
433742,Jair Bolsonaro,AC
658338,Jair Bolsonaro,AC
69426,Jair Bolsonaro,AC
978644,Lula,AC
119844,Jair Bolsonaro,AC
775980,Branco,AC
1113285,Jair Bolsonaro,AC
515207,Jair Bolsonaro,AC
814488,Jair Bolsonaro,AC
1117318,Lula,AC
1149016,Jair Bolsonaro,AC
383047,Lula,AC
953007,Jair Bolsonaro,AC
888493,Jair Bolsonaro,AC
57133,Jair Bolsonaro,AC
66090,Jair Bolsonaro,AC
491933,Jair Bolsonaro,AC
962477,Jair Bolsonaro,AC
453036,Jair Bolsonaro,AC
128820,Jair Bolsonaro,AC
1141167,Jair Bolsonaro,AC
1077179,Jair Bolsonaro,AC
395870,Jair Bolsonaro,AC
972055,Jair Bolsonaro,AC
1012892,Jair Bolsonaro,AC
1149220,Jair Bolsonaro,AC
1205842,Jair Bolsonaro,AC
1177565,Jair Bolsonaro,AC
979072,Lula,AC
346167,Lula,AC
1259298,Jair Bolsonaro,AC
644627,Jair Bolsonaro,AC
444879,Jair Bolsonaro,AC
1215717,Jair Bolsonaro,AC
624395,Jair Bolsonaro,AC
1155591,Jair Bolsonaro,AC
82300,Jair Bolsonaro,AC
868307,Jair Bolsonaro,AC
808586,Lula,AC
540093,Jair Bolsonaro,AC
25895,Jair Bolsonaro,AC
504794,Lula,AC
389039,Jair Bolsonaro,AC
718258,Jair Bolsonaro,AC
