,nome,estado
5777168,Jair Bolsonaro,TO
5305074,Lula,TO
6025581,Jair Bolsonaro,TO
5441282,Simone Tebet,TO
5284721,Jair Bolsonaro,TO
6113059,Jair Bolsonaro,TO
5240004,Lula,TO
5535453,Lula,TO
5907662,Jair Bolsonaro,TO
5657280,Jair Bolsonaro,TO
5296347,Lula,TO
5502934,Jair Bolsonaro,TO
6019879,Lula,TO
5833147,Jair Bolsonaro,TO
5431653,Lula,TO
5570330,Jair Bolsonaro,TO
5325016,Lula,TO
5826522,Jair Bolsonaro,TO
6079642,Lula,TO
5620062,Lula,TO
5755696,Lula,TO
5586286,Lula,TO
5481871,Lula,TO
6065225,Jair Bolsonaro,TO
5323854,Jair Bolsonaro,TO
5516157,Simone Tebet,TO
5594354,Lula,TO
5438798,Jair Bolsonaro,TO
5731491,Lula,TO
5809003,Lula,TO
5647186,Simone Tebet,TO
5450785,Jair Bolsonaro,TO
5374456,Lula,TO
5543626,Lula,TO
5363592,Lula,TO
6070529,Lula,TO
5264763,Lula,TO
5806988,Lula,TO
5513003,Jair Bolsonaro,TO
5575066,Ciro Gomes,TO
5513707,Lula,TO
5721356,Lula,TO
5974362,Lula,TO
5941780,Simone Tebet,TO
5840919,Jair Bolsonaro,TO
5885320,Branco,TO
5265211,Branco,TO
6098301,Jair Bolsonaro,TO
5631707,Lula,TO
5315361,Lula,TO
5878555,Lula,TO
6004042,Lula,TO
5598601,Jair Bolsonaro,TO
5812968,Ciro Gomes,TO
5390713,Lula,TO
5722821,Jair Bolsonaro,TO
5446154,Jair Bolsonaro,TO
5824690,Jair Bolsonaro,TO
5445199,Lula,TO
5602993,Jair Bolsonaro,TO
5260337,Lula,TO
5870630,Lula,TO
5462645,Jair Bolsonaro,TO
5874815,Jair Bolsonaro,TO
6111741,Lula,TO
5987184,Jair Bolsonaro,TO
5343304,Lula,TO
5456182,Ciro Gomes,TO
5631081,Lula,TO
5494319,Jair Bolsonaro,TO
5554725,Jair Bolsonaro,TO
6036589,Jair Bolsonaro,TO
5659376,Lula,TO
5234188,Lula,TO
5696053,Jair Bolsonaro,TO
5856054,Jair Bolsonaro,TO
5777180,Lula,TO
5777281,Lula,TO
5550107,Jair Bolsonaro,TO
5277671,Jair Bolsonaro,TO
5266484,Jair Bolsonaro,TO
5275216,Simone Tebet,TO
6010884,Lula,TO
5818194,Simone Tebet,TO
5501278,Jair Bolsonaro,TO
5888054,Lula,TO
5943273,Jair Bolsonaro,TO
5838419,Lula,TO
5946634,Lula,TO
6070495,Lula,TO
5380980,Jair Bolsonaro,TO
5557680,Lula,TO
6101309,Lula,TO
5237625,Lula,TO
5960266,Jair Bolsonaro,TO
5279631,Lula,TO
5941424,Lula,TO
5280166,Lula,TO
5863295,Lula,TO
5625999,Lula,TO
6083610,Nulo,TO
5961049,Lula,TO
5927964,Lula,TO
5600177,Jair Bolsonaro,TO
5677821,Lula,TO
6010334,Lula,TO
5839723,Nulo,TO
5547672,Jair Bolsonaro,TO
6060921,Lula,TO
5706288,Lula,TO
5581019,Lula,TO
5377774,Jair Bolsonaro,TO
5604517,Jair Bolsonaro,TO
6111356,Lula,TO
5392439,Lula,TO
5395046,Lula,TO
5697637,Lula,TO
5970635,Lula,TO
6090091,Jair Bolsonaro,TO
5341420,Lula,TO
5900698,Jair Bolsonaro,TO
6055809,Lula,TO
5588380,Jair Bolsonaro,TO
6047378,Jair Bolsonaro,TO
5457089,Jair Bolsonaro,TO
5537338,Lula,TO
6041780,Jair Bolsonaro,TO
5785802,Jair Bolsonaro,TO
5698344,Jair Bolsonaro,TO
5934217,Jair Bolsonaro,TO
5907010,Lula,TO
5392634,Jair Bolsonaro,TO
5688847,Lula,TO
6065533,Lula,TO
5878815,Lula,TO
5568571,Nulo,TO
6069205,Lula,TO
5474882,Jair Bolsonaro,TO
6050814,Jair Bolsonaro,TO
6086221,Ciro Gomes,TO
5993299,Lula,TO
5762644,Lula,TO
5610689,Jair Bolsonaro,TO
5624415,Jair Bolsonaro,TO
5574162,Lula,TO
5845182,Jair Bolsonaro,TO
5372990,Jair Bolsonaro,TO
5417999,Lula,TO
5682447,Jair Bolsonaro,TO
5632776,Lula,TO
5465221,Lula,TO
5589407,Lula,TO
5545101,Lula,TO
5543581,Jair Bolsonaro,TO
5434872,Simone Tebet,TO
5529031,Lula,TO
5312841,Jair Bolsonaro,TO
6046472,Lula,TO
5558315,Lula,TO
5436952,Ciro Gomes,TO
5385540,Lula,TO
5619494,Lula,TO
5847519,Jair Bolsonaro,TO
6080922,Lula,TO
6075588,Lula,TO
5825861,Jair Bolsonaro,TO
5345873,Lula,TO
5466961,Lula,TO
5256428,Simone Tebet,TO
5481304,Lula,TO
6014650,Jair Bolsonaro,TO
5874218,Jair Bolsonaro,TO
6035456,Lula,TO
5668334,Nulo,TO
5252661,Jair Bolsonaro,TO
5946911,Lula,TO
5592741,Branco,TO
5724519,Lula,TO
5372290,Jair Bolsonaro,TO
6006050,Nulo,TO
5245939,Lula,TO
5882641,Jair Bolsonaro,TO
6036676,Jair Bolsonaro,TO
5915103,Jair Bolsonaro,TO
5648246,Lula,TO
6032511,Simone Tebet,TO
5241475,Lula,TO
5274110,Lula,TO
5395169,Jair Bolsonaro,TO
5751293,Jair Bolsonaro,TO
5346565,Lula,TO
5692274,Lula,TO
5987454,Jair Bolsonaro,TO
5421219,Jair Bolsonaro,TO
