,nome,estado
647855,Alan Rick,AC
23331,Marcia Bittar,AC
121707,Dr. Jenilson Leite,AC
1230368,Nazaré Araújo,AC
999284,Alan Rick,AC
91668,Marcia Bittar,AC
925289,Alan Rick,AC
792840,Alan Rick,AC
141428,Alan Rick,AC
239730,Nulo,AC
871154,Nazaré Araújo,AC
796113,Alan Rick,AC
464619,Dr. Jenilson Leite,AC
1317877,Alan Rick,AC
211766,Marcia Bittar,AC
530962,Dr. Jenilson Leite,AC
608759,Alan Rick,AC
1281820,Alan Rick,AC
147198,Ney Amorim,AC
116810,Alan Rick,AC
20663,Dr. Jenilson Leite,AC
289683,Nulo,AC
229055,Alan Rick,AC
570698,Nulo,AC
1239543,Branco,AC
1380124,Marcia Bittar,AC
264469,Ney Amorim,AC
1196589,Branco,AC
82232,Ney Amorim,AC
780678,Ney Amorim,AC
899488,Alan Rick,AC
861829,Dr. Jenilson Leite,AC
1113817,Dra. Vanda Milani,AC
713014,Ney Amorim,AC
990555,Dr. Jenilson Leite,AC
235723,Dra. Vanda Milani,AC
1282557,Nazaré Araújo,AC
958535,Dr. Jenilson Leite,AC
215235,Alan Rick,AC
835241,Alan Rick,AC
608929,Alan Rick,AC
628077,Alan Rick,AC
292062,Marcia Bittar,AC
1373745,Marcia Bittar,AC
815442,Alan Rick,AC
1357342,Dra. Vanda Milani,AC
537536,Dra. Vanda Milani,AC
469718,Marcia Bittar,AC
696951,Nulo,AC
755825,Ney Amorim,AC
103082,Nazaré Araújo,AC
384727,Dr. Jenilson Leite,AC
838085,Marcia Bittar,AC
740282,Dr. Jenilson Leite,AC
422832,Alan Rick,AC
1241034,Nazaré Araújo,AC
365831,Dr. Jenilson Leite,AC
487506,Alan Rick,AC
393991,Marcia Bittar,AC
32545,Marcia Bittar,AC
757733,Alan Rick,AC
118211,Alan Rick,AC
87108,Dr. Jenilson Leite,AC
474187,Alan Rick,AC
291365,Ney Amorim,AC
1374331,Alan Rick,AC
546835,Dr. Jenilson Leite,AC
428518,Nazaré Araújo,AC
933136,Ney Amorim,AC
358254,Alan Rick,AC
221564,Alan Rick,AC
1225661,Alan Rick,AC
377726,Marcia Bittar,AC
1146205,Alan Rick,AC
705023,Ney Amorim,AC
69279,Alan Rick,AC
643680,Ney Amorim,AC
231311,Nulo,AC
1381043,Alan Rick,AC
816340,Alan Rick,AC
45847,Nazaré Araújo,AC
197943,Ney Amorim,AC
289595,Alan Rick,AC
143988,Dra. Vanda Milani,AC
181191,Branco,AC
1127404,Dr. Jenilson Leite,AC
457927,Alan Rick,AC
916745,Dr. Jenilson Leite,AC
148482,Alan Rick,AC
1029742,Alan Rick,AC
70631,Alan Rick,AC
983192,Dr. Jenilson Leite,AC
1350993,Nazaré Araújo,AC
667560,Dr. Jenilson Leite,AC
900409,Dra. Vanda Milani,AC
1310326,Alan Rick,AC
147545,Dr. Jenilson Leite,AC
272613,Alan Rick,AC
1176091,Ney Amorim,AC
1205223,Nulo,AC
591570,Alan Rick,AC
400532,Nazaré Araújo,AC
1189900,Dr. Jenilson Leite,AC
521479,Dr. Jenilson Leite,AC
424539,Nulo,AC
345204,Marcia Bittar,AC
806254,Nazaré Araújo,AC
781374,Dr. Jenilson Leite,AC
546733,Alan Rick,AC
810662,Ney Amorim,AC
950734,Dr. Jenilson Leite,AC
501837,Nazaré Araújo,AC
1103827,Nazaré Araújo,AC
94267,Nazaré Araújo,AC
1239781,Alan Rick,AC
683682,Dr. Jenilson Leite,AC
703376,Marcia Bittar,AC
1058727,Nazaré Araújo,AC
592364,Alan Rick,AC
87092,Dr. Jenilson Leite,AC
1238099,Alan Rick,AC
1033433,Alan Rick,AC
848837,Alan Rick,AC
432892,Alan Rick,AC
401852,Dr. Jenilson Leite,AC
459230,Alan Rick,AC
1066520,Nazaré Araújo,AC
148431,Ney Amorim,AC
1258378,Dra. Vanda Milani,AC
618999,Dr. Jenilson Leite,AC
768338,Alan Rick,AC
387812,Branco,AC
394252,Nulo,AC
1183907,Nazaré Araújo,AC
807207,Alan Rick,AC
265146,Alan Rick,AC
1267901,Alan Rick,AC
142585,Nazaré Araújo,AC
932470,Alan Rick,AC
1206018,Dr. Jenilson Leite,AC
78500,Dra. Vanda Milani,AC
