,nome,estado
2165668,Lula,PA
730256,Jair Bolsonaro,PA
1574521,Lula,PA
2765618,Jair Bolsonaro,PA
2802812,Lula,PA
4619740,Jair Bolsonaro,PA
2934523,Lula,PA
1408930,Jair Bolsonaro,PA
4966511,Jair Bolsonaro,PA
934805,Lula,PA
1533044,Lula,PA
2636417,Ciro Gomes,PA
3127683,Lula,PA
3712267,Jair Bolsonaro,PA
3205761,Lula,PA
1138566,Jair Bolsonaro,PA
3371730,Lula,PA
4005882,Lula,PA
2145292,Jair Bolsonaro,PA
4707340,Lula,PA
3927249,Jair Bolsonaro,PA
4516435,Jair Bolsonaro,PA
699618,Lula,PA
1227603,Jair Bolsonaro,PA
2862180,Soraya Thronicke,PA
970251,Lula,PA
4178325,Jair Bolsonaro,PA
1227861,Jair Bolsonaro,PA
2657861,Simone Tebet,PA
1542608,Lula,PA
3583854,Jair Bolsonaro,PA
1374475,Jair Bolsonaro,PA
1129963,Lula,PA
1849593,Jair Bolsonaro,PA
564965,Jair Bolsonaro,PA
3358295,Lula,PA
3552733,Jair Bolsonaro,PA
2461127,Lula,PA
4207112,Jair Bolsonaro,PA
2494333,Lula,PA
4512512,Lula,PA
3467034,Lula,PA
1630857,Jair Bolsonaro,PA
4184772,Jair Bolsonaro,PA
1838212,Lula,PA
2061164,Lula,PA
3551530,Felipe D'Avila,PA
4826251,Jair Bolsonaro,PA
1881744,Lula,PA
1286874,Jair Bolsonaro,PA
3865019,Jair Bolsonaro,PA
1787503,Jair Bolsonaro,PA
4590479,Jair Bolsonaro,PA
1890297,Lula,PA
1190171,Lula,PA
3039572,Lula,PA
3164438,Lula,PA
4298005,Jair Bolsonaro,PA
4197067,Jair Bolsonaro,PA
4881587,Jair Bolsonaro,PA
4078522,Jair Bolsonaro,PA
2821034,Lula,PA
1806280,Lula,PA
520304,Lula,PA
2971355,Jair Bolsonaro,PA
2877823,Ciro Gomes,PA
2842819,Lula,PA
5110850,Lula,PA
4383374,Lula,PA
4562265,Simone Tebet,PA
5141154,Jair Bolsonaro,PA
1632719,Jair Bolsonaro,PA
2873048,Lula,PA
2404114,Nulo,PA
2604924,Lula,PA
3682684,Lula,PA
470700,Lula,PA
2197032,Jair Bolsonaro,PA
3032077,Lula,PA
4167937,Lula,PA
3097758,Jair Bolsonaro,PA
464027,Jair Bolsonaro,PA
3325020,Jair Bolsonaro,PA
986537,Branco,PA
3639043,Lula,PA
4293068,Lula,PA
1943370,Jair Bolsonaro,PA
3442041,Lula,PA
3096799,Lula,PA
2147322,Lula,PA
2883027,Jair Bolsonaro,PA
5163630,Lula,PA
4737153,Simone Tebet,PA
3851250,Jair Bolsonaro,PA
724645,Jair Bolsonaro,PA
452559,Jair Bolsonaro,PA
1295037,Ciro Gomes,PA
3185003,Lula,PA
3832241,Jair Bolsonaro,PA
5041042,Lula,PA
880817,Jair Bolsonaro,PA
2861301,Lula,PA
3476065,Jair Bolsonaro,PA
1045534,Lula,PA
2959786,Jair Bolsonaro,PA
889527,Jair Bolsonaro,PA
2757878,Simone Tebet,PA
4208746,Lula,PA
1599029,Lula,PA
4523701,Jair Bolsonaro,PA
3956114,Lula,PA
5065443,Lula,PA
2839616,Lula,PA
2588887,Lula,PA
4557508,Lula,PA
1512587,Lula,PA
1579871,Lula,PA
3955150,Simone Tebet,PA
1846676,Lula,PA
3087516,Jair Bolsonaro,PA
1959505,Jair Bolsonaro,PA
617975,Jair Bolsonaro,PA
2489300,Lula,PA
3184488,Lula,PA
448965,Jair Bolsonaro,PA
897478,Branco,PA
2903807,Jair Bolsonaro,PA
2008417,Lula,PA
5051826,Jair Bolsonaro,PA
651663,Lula,PA
4264732,Lula,PA
2657360,Jair Bolsonaro,PA
716515,Lula,PA
2603658,Ciro Gomes,PA
1153576,Jair Bolsonaro,PA
540890,Lula,PA
3577117,Jair Bolsonaro,PA
3870048,Lula,PA
5189105,Jair Bolsonaro,PA
5213228,Jair Bolsonaro,PA
4882285,Simone Tebet,PA
3899660,Lula,PA
3988463,Lula,PA
3114472,Lula,PA
3176233,Lula,PA
4631343,Simone Tebet,PA
1264281,Jair Bolsonaro,PA
3663319,Lula,PA
1692224,Simone Tebet,PA
4466260,Lula,PA
3572362,Jair Bolsonaro,PA
4834116,Jair Bolsonaro,PA
617038,Lula,PA
1968151,Lula,PA
3411127,Soraya Thronicke,PA
2093034,Lula,PA
647378,Lula,PA
2633274,Lula,PA
4377913,Jair Bolsonaro,PA
1607108,Simone Tebet,PA
4270350,Lula,PA
4562649,Jair Bolsonaro,PA
3456070,Jair Bolsonaro,PA
3389246,Lula,PA
770247,Lula,PA
4900638,Jair Bolsonaro,PA
