,nome,estado
1390637,Jair Bolsonaro,AM
2009590,Lula,AM
186213,Jair Bolsonaro,AM
846836,Lula,AM
234594,Lula,AM
2395193,Simone Tebet,AM
2375321,Jair Bolsonaro,AM
2028709,Ciro Gomes,AM
2134095,Soraya Thronicke,AM
2364565,Jair Bolsonaro,AM
893406,Lula,AM
1988788,Jair Bolsonaro,AM
1705036,Jair Bolsonaro,AM
651955,Lula,AM
1787610,Jair Bolsonaro,AM
94088,Jair Bolsonaro,AM
1004973,Jair Bolsonaro,AM
29651,Lula,AM
1016575,Jair Bolsonaro,AM
1839367,Lula,AM
184112,Lula,AM
142947,Jair Bolsonaro,AM
1461252,Jair Bolsonaro,AM
2357877,Jair Bolsonaro,AM
16715,Jair Bolsonaro,AM
2393926,Simone Tebet,AM
1155716,Jair Bolsonaro,AM
2154526,Lula,AM
1120845,Ciro Gomes,AM
372940,Jair Bolsonaro,AM
2140010,Lula,AM
652568,Lula,AM
1409027,Jair Bolsonaro,AM
1475263,Jair Bolsonaro,AM
2099899,Lula,AM
958407,Lula,AM
851754,Lula,AM
518793,Lula,AM
1771038,Soraya Thronicke,AM
555768,Jair Bolsonaro,AM
383687,Lula,AM
435369,Lula,AM
1705396,Soraya Thronicke,AM
1432031,Jair Bolsonaro,AM
395619,Lula,AM
58875,Jair Bolsonaro,AM
1170138,Jair Bolsonaro,AM
1971658,Nulo,AM
2324128,Jair Bolsonaro,AM
1467264,Jair Bolsonaro,AM
1097111,Lula,AM
446398,Lula,AM
1753791,Jair Bolsonaro,AM
2102143,Simone Tebet,AM
775125,Lula,AM
1170034,Jair Bolsonaro,AM
794379,Lula,AM
1066641,Jair Bolsonaro,AM
1264270,Jair Bolsonaro,AM
2214810,Lula,AM
161,Lula,AM
1875312,Lula,AM
1688118,Jair Bolsonaro,AM
2292944,Jair Bolsonaro,AM
1691719,Jair Bolsonaro,AM
1438643,Jair Bolsonaro,AM
1868510,Lula,AM
2066291,Lula,AM
1536896,Jair Bolsonaro,AM
1529438,Jair Bolsonaro,AM
2376571,Jair Bolsonaro,AM
1702921,Jair Bolsonaro,AM
295204,Lula,AM
1703130,Ciro Gomes,AM
2007267,Jair Bolsonaro,AM
611962,Lula,AM
694334,Lula,AM
406335,Lula,AM
2349605,Jair Bolsonaro,AM
810862,Lula,AM
2391331,Simone Tebet,AM
1019848,Jair Bolsonaro,AM
1712582,Jair Bolsonaro,AM
322768,Lula,AM
815389,Lula,AM
1865720,Lula,AM
1334752,Jair Bolsonaro,AM
1219347,Jair Bolsonaro,AM
2368418,Jair Bolsonaro,AM
