,nome,estado
1510336,Jair Bolsonaro,RR
975346,Padre Kelmon,RR
1216341,Jair Bolsonaro,RR
2327786,Jair Bolsonaro,RR
1862163,Lula,RR
667215,Jair Bolsonaro,RR
2317147,Jair Bolsonaro,RR
1084853,Lula,RR
1593549,Jair Bolsonaro,RR
1264136,Jair Bolsonaro,RR
1359347,Jair Bolsonaro,RR
1495711,Jair Bolsonaro,RR
1160356,Jair Bolsonaro,RR
2245776,Jair Bolsonaro,RR
1638433,Jair Bolsonaro,RR
2307335,Jair Bolsonaro,RR
1167930,Lula,RR
2182458,Lula,RR
1600936,Jair Bolsonaro,RR
2251800,Jair Bolsonaro,RR
554918,Jair Bolsonaro,RR
1507229,Jair Bolsonaro,RR
1692381,Jair Bolsonaro,RR
2064281,Jair Bolsonaro,RR
1360652,Jair Bolsonaro,RR
1962992,Jair Bolsonaro,RR
2305939,Jair Bolsonaro,RR
426608,Jair Bolsonaro,RR
1281740,Jair Bolsonaro,RR
2012979,Jair Bolsonaro,RR
1525553,Jair Bolsonaro,RR
1462683,Jair Bolsonaro,RR
1035226,Jair Bolsonaro,RR
2243230,Jair Bolsonaro,RR
1646683,Jair Bolsonaro,RR
1473656,Jair Bolsonaro,RR
2103129,Felipe D'Avila,RR
198897,Lula,RR
262951,Lula,RR
1435528,Ciro Gomes,RR
1609660,Jair Bolsonaro,RR
1101691,Lula,RR
1687721,Jair Bolsonaro,RR
1178938,Jair Bolsonaro,RR
115489,Jair Bolsonaro,RR
886147,Jair Bolsonaro,RR
2309645,Ciro Gomes,RR
1003994,Jair Bolsonaro,RR
1295766,Jair Bolsonaro,RR
2301714,Ciro Gomes,RR
1186977,Jair Bolsonaro,RR
2329171,Nulo,RR
569366,Lula,RR
634601,Lula,RR
1534663,Simone Tebet,RR
1701694,Jair Bolsonaro,RR
1106725,Lula,RR
1435807,Jair Bolsonaro,RR
2012945,Jair Bolsonaro,RR
1796415,Jair Bolsonaro,RR
1423863,Jair Bolsonaro,RR
1598622,Jair Bolsonaro,RR
912059,Lula,RR
916391,Jair Bolsonaro,RR
1167226,Jair Bolsonaro,RR
838341,Jair Bolsonaro,RR
1670048,Jair Bolsonaro,RR
46663,Jair Bolsonaro,RR
1464374,Jair Bolsonaro,RR
2082715,Lula,RR
2352941,Jair Bolsonaro,RR
1610801,Jair Bolsonaro,RR
1756857,Branco,RR
1979712,Jair Bolsonaro,RR
